Make,Year,Price,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Additions,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,Drive Type
هونداي سانتافيه,2019,136000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,49000,نقدا فقط,للبيع أو التبديل,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,6+1,دفع أمامي
سكودا اوكتافيا,2014,88000,فيراني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,,
هوندا سيفيك,2008,61000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,116000,نقدا فقط,للبيع فقط,ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,,
هونداي اكسنت,2013,57000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
فرش جلد
وسادة حماية هوائية",1,1,0,0,0,0,1,1,4+1,
جييب شيروكي,2014,130000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,6+1,
هونداي فيرنا,2009,32000,سكني,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,1111111,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,,دفع أمامي
فولكسفاجن طوارق,2007,95000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,250000,إمكانية التقسيط,للبيع فقط,ثالثة,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
فرش جلد",1,1,0,1,1,0,1,0,6+1,دفع رباعي 4x4
اوبل استرا,2006,40000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,159000,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
نيسان تيرانو,2000,52000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2700,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,1,1,0,1,6+1,دفع رباعي 4x4
كيا سورينتو,2017,140000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2200,150.000,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,6+1,
مرسيدس E200,2010,140000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,75000,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,1,1,1,1,4+1,
سكودا اوكتافيا,2016,89000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,180000,نقدا فقط,للبيع فقط,يد صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
فورد فوكس,2014,55000,أسود,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,120000,نقدا فقط,للبيع أو التبديل,يد اولا,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,0,1,1,4+1,دفع أمامي
كيا سيراتو,2020,112000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,صفر,نقدا فقط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
بيجو بارتنر,2007,40000,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",0,1,1,1,0,1,1,1,,
هونداي افانتي,2006,35000,أسود,بنزين,تدريب سياقة,فلسطينية,عادي,الكتروني,1600,241000,إمكانية التقسيط,للبيع فقط,يد ثالثة,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,دفع أمامي
سيت ليون,2017,77000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,٤٦,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,,
بيجو بارتنر,2017,75000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,185000,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,0,1,1,4+1,دفع أمامي
لاندروفر ديفندر,2008,110000,رمادي,ديزل,حكومي,فلسطينية,عادي,الكتروني,2400,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد",1,1,1,1,0,0,1,0,4+1,
فولكسفاجن جولف,1999,37500,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,000000,إمكانية التقسيط,للبيع أو التبديل,000000,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
بيجو 308,2010,35000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
سكودا اوكتافيا,2015,100000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,10000,نقدا فقط,للتبديل فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
كيا برايد,2012,56000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,75000,نقدا فقط,للبيع فقط,اولى,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية",1,1,0,0,0,0,0,1,4+1,
فولكسفاجن طوارق,2019,360000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,28000,إمكانية التقسيط,للبيع أو التبديل,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع رباعي 4x4
هونداي توسان,2006,43500,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,270000,إمكانية التقسيط,للبيع أو التبديل,4,,0,0,0,0,0,0,0,0,4+1,
مرسيدس E350,2011,150000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,1,1,1,1,4+1,
فولكسفاجن بورا,2000,38000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,٧٠٠٠٠,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
اوبل كورسا,2013,54000,فيراني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,00000,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
فولكسفاجن جولف,2009,57000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
هونداي جيتس,2009,4000,أبيض,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1400,000000,إمكانية التقسيط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
هونداي سانتافيه,2016,140000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,68000,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,0,1,1,6+1,
نيسان تيرانو,2000,70000,عدة الوان,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2700,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,1,1,0,1,7+1,
كيا سورينتو,2015,150000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,1233445,نقدا فقط,للبيع فقط,يد اولى,,0,0,0,0,0,0,0,0,6+1,
هونداي سانتافيه,2016,127000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,75000,نقدا فقط,للبيع فقط,ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,6+1,
داتشيا داستر,2017,60000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,39000,نقدا فقط,للبيع أو التبديل,يد صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
فولكسفاجن تيجوان,2018,125000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000,نقدا فقط,للبيع أو التبديل,اولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,دفع أمامي
كيا بيكانتو,2016,50500,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1250,4444,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,
كيا بيكانتو,2016,45000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,65000,إمكانية التقسيط,للبيع أو التبديل,١,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
كيا برايد,2015,63500,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,1,1,1,,
كيا سيراتو,2006,37000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,17000,نقدا فقط,للبيع أو التبديل,******,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
فيات باندا,2010,38000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,144000,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم",1,1,1,1,0,1,0,0,4+1,
سكودا اوكتافيا,2007,50000,فيراني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,275000,نقدا فقط,للبيع أو التبديل,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
هونداي جيتس,2009,25000,خمري,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,٠٠٠٠٠٠,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي",1,1,0,0,0,0,0,0,4+1,
سكودا سبيس باك,2015,74000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,,
هونداي اكسنت,2016,59999,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,51000,إمكانية التقسيط,للبيع فقط,يد أولى,,0,0,0,0,0,0,0,0,4+1,
فورد فوكس,2016,67000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,٧٠٠٠٠,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
سكودا رابيد,2019,95000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,49000,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,دفع أمامي
فولكسفاجن كرافيل,1998,45000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,45555,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,1,1,1,7+1,
سكودا اوكتافيا,2005,39000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,واحد,إمكانية التقسيط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",1,1,1,1,0,1,1,0,مثال: 4 + 1,
سيت ليون,2015,60000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,139000,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,دفع أمامي
اوبل كورسا,2013,40000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,122000,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
هونداي اكسنت,2015,59999,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,58000,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,,
سكودا اوكتافيا,2014,74000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,128000,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
كيا سورينتو,2018,179000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,52000,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,6+1,دفع رباعي 4x4
هونداي اكسنت,2018,77000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,39000,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,0,0,1,0,1,4+1,دفع أمامي
كيا سورينتو,2016,130000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,100000,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,6+1,دفع رباعي 4x4
فورد كوجا,2013,90000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,170000,إمكانية التقسيط,للبيع فقط,ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
فولكسفاجن جولف,2005,49999,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,628939,إمكانية التقسيط,للبيع فقط,يد ثالثه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,1,1,0,1,4+1,
كيا اوبتيما,2018,94000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,60000,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع خلفي
سكودا اوكتافيا,2012,75000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,280000,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
هونداي توسان,2013,76000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,93000,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
بيجو بارتنر,2013,54000,كحلي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,354000,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1,0,1,0,0,1,0,1,6+1,دفع أمامي
كيا سبورتاج,2015,87000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع رباعي 4x4
دراجة نارية Sym,2016,22000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,250,14000,نقدا فقط,للبيع فقط,0,فرش جلد,0,0,0,0,0,0,1,0,1,
شفروليه كروز,2012,39000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,,
مرسيدس 200,1983,20000,بني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,200,6666,نقدا فقط,للبيع فقط,7,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",0,1,1,1,0,1,1,1,4+1,
فولكسفاجن بورا,2002,40000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١٨٠٠٠٠,إمكانية التقسيط,للبيع فقط,٥,,0,0,0,0,0,0,0,0,4+1,
هونداي اتوس,1999,23000,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1000,75000,نقدا فقط,للبيع أو التبديل,يد ثالثة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,
فيات 127,1983,2000,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,900,00000,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,4+1,
فولكسفاجن بولو,1997,16500,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,123455,إمكانية التقسيط,للبيع أو التبديل,12345,"مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",0,0,0,1,0,1,0,1,4+1,
فورد ايدج,2008,60000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3600,,نقدا فقط,للبيع أو التبديل,٣,"إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",0,1,0,1,1,1,1,1,4+1,
هونداي فيرنا,2008,45000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
بي ام دبليو 320,2004,65000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2200,170,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع خلفي
مرسيدس 200,2013,140000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,112 الف,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
اوبل استرا,2009,48200,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,199999,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
ميتسوبيشي باجيرو,2006,100000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,160000,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,6+1,
فولكسفاجن باسات,2015,115000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100000,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع أمامي
فولكسفاجن جولف,2021,152000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,7,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع أمامي
اوبل فيكترا,1998,24000,رمادي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,160,نقدا فقط,للبيع فقط,يد اولى,فتحة سقف,0,0,0,0,1,0,0,0,4+1,
سكودا فابيا,2008,38000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,164000,إمكانية التقسيط,للبيع أو التبديل,رابعة,"مُكيّف
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,0,0,1,1,1,0,1,4+1,
سيت ابيزا,2017,60000,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,00000,إمكانية التقسيط,للبيع أو التبديل,000,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
شفروليه اوبترا,2008,39999,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,119000,نقدا فقط,للتبديل فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,,
سكودا اوكتافيا,2012,48000,أصفر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع فقط,يد اولى,,0,0,0,0,0,0,0,0,4+1,دفع أمامي
سكودا اوكتافيا,2015,95000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
فولكسفاجن ترانسبورتر,1999,41000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,١٢٣٤٥٦,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,7+1,
سوبارو نملة,1980,5000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,8,"مُكيّف
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,0,1,0,0,1,1,1,4+1,
فولكسفاجن جولف,2008,58000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,175000,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية",1,1,0,0,0,0,0,1,4+1,دفع أمامي
سكودا اوكتافيا,2016,89900,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,نقدا فقط,للبيع أو التبديل,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
كيا برايد,2007,47000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,880000,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
